# Phrases types du SVI — pour évaluation TTS et STT
#
# Ces phrases sont représentatives des messages du bot (TTS)
# et des réponses types de l'appelant (STT).
#
# Usage :
#   - TTS : générer un WAV pour chaque phrase "bot_*"
#   - STT : enregistrer un WAV pour chaque phrase "appelant_*", puis transcrire
#
# Format : id | texte

# === Messages du bot (à synthétiser en TTS) ===

bot_accueil | Bonjour, bienvenue chez Ma-if. Quel est le motif de votre appel ?
bot_relance_silence | Je n'ai pas entendu votre réponse. Pouvez-vous répéter s'il vous plaît ?
bot_demande_societaire | Êtes-vous déjà sociétaire Ma-if ?
bot_demande_vehicule | Quel type de véhicule souhaitez-vous assurer ?
bot_relance_incompris | Je n'ai pas bien compris. Pouvez-vous reformuler s'il vous plaît ?
bot_confirmation | Si j'ai bien compris, vous souhaitez souscrire une assurance auto. C'est bien cela ?
bot_transfert | Merci pour ces informations. Je vous mets en relation avec un conseiller spécialisé. Un instant s'il vous plaît.
bot_au_revoir_silence | Je n'ai pas entendu de réponse. Au revoir et à bientôt.
bot_au_revoir_incompris | Je n'ai pas compris votre demande. Je vous transfère vers un conseiller. Au revoir.
bot_attente | Un instant s'il vous plaît, je recherche les informations.

# === Réponses types de l'appelant (à transcrire en STT) ===

appelant_motif_auto | je voudrais souscrire une assurance auto
appelant_motif_habitation | j'appelle pour mon assurance habitation
appelant_motif_sinistre | je voudrais déclarer un sinistre
appelant_oui | oui
appelant_non | non
appelant_oui_long | oui tout à fait je suis sociétaire depuis dix ans
appelant_vehicule_auto | c'est pour une voiture
appelant_vehicule_moto | c'est pour une moto
appelant_numero | mon numéro de sociétaire c'est un deux trois quatre cinq six sept A
appelant_incomprehensible | euh bah je sais pas trop en fait euh comment dire
appelant_bruit | [bruit de fond, klaxon, conversation en arrière-plan]
